Player,Team,draft_year,draft_round,draft_number
Mark Pope,IND,1996,2,52
Michael Curry,MIL,Undrafted,Undrafted,Undrafted
Nick Anderson,ORL,1989,1,11
Michael Jordan,CHI,1984,1,3
Luc Longley,CHI,1991,1,7
Priest Lauderdale,DEN,1996,1,28
Popeye Jones,TOR,1992,2,41
Pooh Richardson,LAC,1989,1,10
Pete Myers,NYK,1986,6,120
Pete Chilcutt,VAN,1991,1,27
Pervis Ellison,BOS,1989,1,1
Patrick Ewing,NYK,1985,1,1
P.J. Brown,MIA,1992,2,29
Otis Thorpe,SAC,1984,1,9
Othella Harrington,HOU,1996,2,30
Michael Finley,DAL,1995,1,21
Oliver Miller,TOR,1992,1,22
Nick Van Exel,LAL,1993,2,37
Nate McMillan,SEA,1986,2,30
Muggsy Bogues,GSW,1987,1,12
Mookie Blaylock,ATL,1989,1,12
Monty Williams,SAS,1994,1,24
Mitchell Butler,CLE,Undrafted,Undrafted,Undrafted
Mitch Richmond,SAC,1988,1,5
Micheal Williams,MIN,1988,2,48
Michael Stewart,SAC,Undrafted,Undrafted,Undrafted
Michael Smith,VAN,1994,2,35
Michael McDonald,CHH,1995,2,55
Olden Polynice,SAC,1987,1,8
Loy Vaught,LAC,1990,1,13
Kenny Anderson,BOS,1991,1,2
Lorenzen Wright,LAC,1996,1,7
Keith Askins,MIA,Undrafted,Undrafted,Undrafted
Kebu Stewart,PHI,1997,2,35
Karl Malone,UTA,1985,1,13
Juwan Howard,WAS,1994,1,5
Jud Buechler,CHI,1990,2,38
Jon Barry,LAL,1992,1,21
Johnny Taylor,ORL,1997,1,17
Johnny Newman,DEN,1986,2,29
John Wallace,TOR,1996,1,18
John Thomas,TOR,1997,1,25
John Stockton,UTA,1984,1,16
John Starks,NYK,Undrafted,Undrafted,Undrafted
John Crotty,POR,Undrafted,Undrafted,Undrafted
Joe Wolf,DEN,1987,1,13
Joe Stephens,HOU,Undrafted,Undrafted,Undrafted
Joe Smith,PHI,1995,1,1
Joe Kleine,CHI,1985,1,6
Joe Dumars,DET,1985,1,18
Jimmy Oliver,WAS,1991,2,39
Jim McIlvaine,SEA,1994,2,32
Jim Jackson,GSW,1992,1,4
Jerry Stackhouse,DET,1995,1,3
Randy Livingston,ATL,1996,2,42
Keith Booth,CHI,1997,1,28
Keith Closs,LAC,Undrafted,Undrafted,Undrafted
Keith Van Horn,NJN,1997,1,2
Kelvin Cato,POR,1997,1,15
Lloyd Daniels,TOR,Undrafted,Undrafted,Undrafted
Litterial Green,MIL,1992,2,39
Lindsey Hunter,DET,1993,1,10
Lee Mayberry,VAN,1992,1,23
Ledell Eackles,WAS,1988,2,36
Lawrence Moten,WAS,1995,2,36
Lawrence Funderburke,SAC,1994,2,51
Latrell Sprewell,GSW,1992,1,24
Larry Robinson,VAN,Undrafted,Undrafted,Undrafted
Larry Johnson,NYK,1991,1,1
Lamond Murray,LAC,1994,1,7
Lorenzo Williams,WAS,Undrafted,Undrafted,Undrafted
LaPhonso Ellis,DEN,1992,1,5
Kobe Bryant,LAL,1996,1,13
Kiwane Garris,DEN,Undrafted,Undrafted,Undrafted
Khalid Reeves,DAL,1994,1,12
Kevin Willis,HOU,1984,1,11
Kevin Salvadori,SAC,Undrafted,Undrafted,Undrafted
Kevin Ollie,ORL,Undrafted,Undrafted,Undrafted
Kevin Johnson,PHX,1987,1,7
Kevin Garnett,MIN,1995,1,5
Kevin Edwards,ORL,1988,1,20
Kerry Kittles,NJN,1996,1,8
Kendall Gill,NJN,1990,1,5
Kurt Thomas,DAL,1995,1,10
Rasheed Wallace,POR,1995,1,4
Aaron McKie,PHI,1994,1,17
Reggie Geary,SAS,1996,2,56
Tony Massenburg,VAN,1990,2,43
Tony Farmer,CHH,Undrafted,Undrafted,Undrafted
Tony Dumas,CLE,1994,1,19
Tony Delk,GSW,1996,1,16
Tony Battie,DEN,1997,1,5
Toni Kukoc,CHI,1990,2,29
Tom Hammonds,MIN,1989,1,9
Tom Gugliotta,MIN,1992,1,6
Tom Chambers,PHI,1981,1,8
Todd Fuller,GSW,1996,1,11
Todd Day,MIA,1992,1,8
Tim Thomas,PHI,1997,1,7
Tim Legler,WAS,Undrafted,Undrafted,Undrafted
Tim Kempton,TOR,1986,6,124
Tim Hardaway,MIA,1989,1,14
Tim Duncan,SAS,1997,1,1
Tim Breaux,MIL,Undrafted,Undrafted,Undrafted
Theo Ratliff,PHI,1995,1,18
Terry Porter,MIN,1985,1,24
Terry Mills,MIA,1990,1,16
Terry Dehere,SAC,1993,1,13
Terry Davis,WAS,Undrafted,Undrafted,Undrafted
Terry Cummings,NYK,1982,1,2
Tony Smith,MIL,1990,2,51
Tracy McGrady,TOR,1997,1,9
Tracy Murray,WAS,1992,1,18
Travis Best,IND,1995,1,23
Jerome Williams,DET,1996,1,26
Zydrunas Ilgauskas,CLE,1996,1,20
Zan Tabak,BOS,1991,2,51
Yinka Dare,NJN,1994,1,14
Xavier McDaniel,NJN,1985,1,4
Willie Burton,SAS,1990,1,9
William Cunningham,PHI,Undrafted,Undrafted,Undrafted
Will Perdue,SAS,1988,1,11
Wesley Person,CLE,1994,1,23
Walter McCarty,BOS,1996,1,19
Walt Williams,POR,1992,1,7
Terrell Brandon,MIL,1991,1,11
Voshon Lenard,MIA,1994,2,46
Vitaly Potapenko,CLE,1996,1,12
Vinny Del Negro,SAS,1988,2,29
Vincent Askew,POR,1987,2,39
Vin Baker,SEA,1993,1,8
Vernon Maxwell,CHH,1988,2,47
Tyus Edney,BOS,1995,2,47
Tyrone Hill,MIL,1990,1,11
Tyrone Corbin,ATL,1985,2,35
Troy Hudson,UTA,Undrafted,Undrafted,Undrafted
Travis Williams,CHH,Undrafted,Undrafted,Undrafted
Travis Knight,BOS,1996,1,29
Vlade Divac,CHH,1989,1,26
Tariq Abdul-Wahad,SAC,1997,1,11
Stojko Vrankovic,LAC,Undrafted,Undrafted,Undrafted
Steven Smith,ATL,1991,1,5
Sam Mitchell,MIN,1985,3,54
Sam Mack,VAN,Undrafted,Undrafted,Undrafted
Sam Cassell,NJN,1993,1,24
Rusty LaRue,CHI,Undrafted,Undrafted,Undrafted
Roy Rogers,TOR,1996,1,22
Rony Seikaly,NJN,1988,1,9
Ron Mercer,BOS,1997,1,6
Ron Harper,CHI,1986,1,8
Rodrick Rhodes,HOU,1997,1,24
Rodney Rogers,LAC,1993,1,9
Rod Strickland,WAS,1988,1,19
Sam Perkins,SEA,1984,1,4
Robert Pack,DAL,Undrafted,Undrafted,Undrafted
Rik Smits,IND,1988,1,2
Ricky Pierce,MIL,1982,1,18
Rick Mahorn,DET,1980,2,35
Rick Fox,LAL,1991,1,24
Rick Brunson,POR,Undrafted,Undrafted,Undrafted
Rex Walters,MIA,1993,1,16
Rex Chapman,PHX,1988,1,8
Reggie Slater,TOR,Undrafted,Undrafted,Undrafted
Reggie Miller,IND,1987,1,11
Reggie Jordan,MIN,Undrafted,Undrafted,Undrafted
Reggie Hanson,BOS,1998,Undrafted,Undrafted
Robert Horry,LAL,1992,1,11
Ray Allen,MIL,1996,1,5
Samaki Walker,DAL,1996,1,9
Scott Brooks,CLE,Undrafted,Undrafted,Undrafted
Steve Nash,PHX,1996,1,15
Steve Kerr,CHI,1988,2,50
Steve Henson,DET,1990,2,44
Stephon Marbury,MIN,1996,1,4
Stephen Howard,SEA,Undrafted,Undrafted,Undrafted
Stanley Roberts,MIN,1991,1,23
Stacey Augmon,POR,1991,1,9
Spud Webb,ORL,1985,4,87
Sherman Douglas,NJN,1989,2,28
Shea Seals,LAL,Undrafted,Undrafted,Undrafted
Shawnelle Scott,CLE,1994,2,43
Scot Pollard,DET,1997,1,19
Shawn Respert,DAL,1995,1,8
Shawn Bradley,DAL,1993,1,2
Sharone Wright,TOR,1994,1,6
Shareef Abdur-Rahim,VAN,1996,1,3
Shaquille O'Neal,LAL,1992,1,1
Shandon Anderson,UTA,1996,2,54
Sean Rooks,LAL,1992,2,30
Sean Higgins,POR,1990,2,54
Sean Elliott,SAS,1989,1,3
Scottie Pippen,CHI,1987,1,5
Scott Williams,PHI,Undrafted,Undrafted,Undrafted
Scott Burrell,CHI,1993,1,20
Shawn Kemp,CLE,1989,1,17
Jerome Kersey,SEA,1984,2,46
Jermaine O'Neal,POR,1996,1,17
Jerald Honeycutt,MIL,1997,2,38
Damon Stoudamire,POR,1995,1,7
